,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
197,ILPT,Industrial Logistics Properties Trust,255.47M,-2.84%,205599,437.34M
198,NEN,New England Realty Associates LP,252.23M,-,39,74.48M
199,GPMT,Granite Point Mortgage Trust Inc.,242.79M,-0.63%,519124,-19.81M
200,RMAX,"RE/MAX Holdings, Inc.",242.37M,-5.98%,738649,325.67M
201,PINE,"Alpine Income Property Trust, Inc.",227.23M,-1.24%,40444,45.64M
202,FSP,Franklin Street Properties Corp.,224.44M,-0.92%,225358,145.71M
203,OPAD,Offerpad Solutions Inc.,221.01M,-3.21%,19286,1.31B
204,OZ,"Belpointe PREP, LLC",217.34M,-0.31%,2321,2.16M
205,SACH,Sachem Capital Corp.,203.20M,5.42%,662870,64.59M
206,CLPR,Clipper Realty Inc.,201.31M,-3.26%,29383,138.21M
207,ONL,Orion Office REIT Inc.,194.13M,-2.01%,281467,195.04M
208,SEVN,Seven Hills Realty Trust,190.47M,-3.19%,40132,34.51M
209,SDHC,Smith Douglas Homes Corp.,184.08M,-3.49%,151557,755.35M
210,STRS,Stratus Properties Inc.,176.23M,0.05%,5991,26.30M
211,MITT,"AG Mortgage Investment Trust, Inc.",170.83M,0.17%,216768,93.85M
212,CIO,"City Office REIT, Inc.",168.65M,-0.24%,225262,179.10M
213,STHO,Star Holdings,162.03M,1.94%,58432,123.05M
214,BHR,Braemar Hotels & Resorts Inc.,157.74M,0.54%,388079,739.34M
215,DOUG,Douglas Elliman Inc.,155.61M,-3.53%,1448947,955.58M
216,MDV,Modiv Inc.,146.49M,3.19%,57958,46.94M
217,EARN,Ellington Residential Mortgage REIT,129.62M,2.19%,317784,-2.71M
218,AXR,AMREP Corporation,128.41M,-1.48%,5188,44.53M
219,LFT,"Lument Finance Trust, Inc.",117.00M,-0.45%,112900,31.97M
220,CHMI,Cherry Hill Mortgage Investment Corporation,106.63M,1.17%,370623,-21.20M
221,OPI,Office Properties Income Trust,98.97M,-3.45%,1758266,533.55M
222,AJX,Great Ajax Corp.,91.99M,-6.13%,409459,-17.07M
223,ACR,ACRES Commercial Realty Corp.,88.72M,0.87%,53574,91.13M
224,MAYS,"J.W. Mays, Inc.",87.95M,3.98%,130,21.71M
225,CMCT,Creative Media & Community Trust Corporation,85.45M,-,3728,115.66M
226,ASPS,Altisource Portfolio Solutions S.A.,69.88M,-5.70%,97930,145.07M
227,AIRE,reAlpha Tech Corp.,60.45M,-0.72%,423354,-
228,SOHO,Sotherly Hotels Inc.,56.85M,-3.52%,27989,173.03M
229,DOMA,Doma Holdings Inc.,56.13M,4.10%,7810,335.84M
230,LOAN,"Manhattan Bridge Capital, Inc.",54.79M,-1.04%,20322,9.80M
231,AHT,"Ashford Hospitality Trust, Inc.",54.26M,-1.45%,407806,1.37B
232,WETH,Wetouch Technology Inc.,53.99M,6.90%,402519,39.88M
233,LRE,"Lead Real Estate Co., Ltd",51.16M,-1.70%,1221,116.96M
234,SELF,"Global Self Storage, Inc.",48.21M,0.23%,42092,12.27M
235,LODE,Comstock Inc.,45.52M,4.38%,285059,1.27M
236,CHCI,"Comstock Holding Companies, Inc.",45.07M,-0.21%,3309,43.01M
237,RFL,"Rafael Holdings, Inc.",42.53M,-1.73%,24553,275.00K
238,FTHM,Fathom Holdings Inc.,41.55M,-12.50%,153678,354.59M
239,LRHC,La Rosa Holding Corp.,24.63M,-7.89%,27499,26.32M
240,OMH,Ohmyhome Limited,22.10M,-8.82%,179595,4.34M
241,GIPR,"Generation Income Properties, Inc.",19.94M,-0.27%,15110,5.91M
242,GYRO,"Gyrodyne, LLC",18.21M,-,4,-
243,LEJU,Leju Holdings Limited,17.78M,1.54%,5378,332.27M
244,SQFT,"Presidio Property Trust, Inc.",16.60M,9.32%,105017,17.63M
245,NYC,American Strategic Investment Co,16.49M,-4.31%,2838,63.53M
246,XIN,"Xinyuan Real Estate Co., Ltd.",15.92M,2.64%,1572,754.13M
247,MDJH,MDJM Ltd,14.36M,4.27%,216,29.45K
248,MDRR,"Medalist Diversified REIT, Inc.",13.71M,-5.06%,10164,10.27M
249,IHT,InnSuites Hospitality Trust,12.88M,-,1528,7.39M
250,AEI,Alset EHome International Inc.,12.17M,4.75%,39079,21.95M
251,WHLR,"Wheeler Real Estate Investment Trust, Inc.",11.84M,4.08%,278199,102.33M
252,SGD,Safe and Green Development Corporation,9.92M,1.65%,204881,-
253,GBR,"New Concept Energy, Inc.",5.34M,-0.96%,2744,172.00K
254,TPHS,Trinity Place Holdings Inc.,5.16M,122.72%,141143055,42.33M
255,GGE,Green Giant Inc.,4.73M,-5.90%,4158330,1.80M
256,ALBT,Avalon GloboCare Corp.,3.74M,-3.23%,15395,1.23M
257,VINO,"Gaucho Group Holdings, Inc.",3.56M,-3.06%,22942,1.99M
258,DUO,Fangdd Network Group Ltd.,2.12M,-10.91%,568610,35.17M
259,PW,Power REIT,2.03M,-6.85%,19514,4.00M
260,UK,Ucommune International Ltd,1.79M,-7.53%,141047,87.50M
