,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
119,ESLT,Elbit Systems Ltd.,9.00B,0.27%,13507,5.86B
120,WWD,"Woodward, Inc.",8.93B,-0.42%,228525,3.08B
121,DCI,"Donaldson Company, Inc.",8.87B,-1.09%,378389,3.48B
122,KNX,Knight-Swift Transportation Holdings Inc.,8.74B,-2.81%,2653910,7.14B
123,AGCO,AGCO Corporation,8.69B,-0.89%,566661,14.41B
124,WSC,WillScot Mobile Mini Holdings Corp.,8.68B,-1.40%,1249104,2.36B
125,CHRW,"C.H. Robinson Worldwide, Inc.",8.64B,-0.76%,1536515,17.60B
126,PSN,Parsons Corporation,8.63B,-0.58%,549938,5.44B
127,SSD,"Simpson Manufacturing Co., Inc.",8.38B,-1.00%,156154,2.21B
128,BZ,Kanzhun Limited,8.36B,-0.47%,2988109,839.50M
129,RHI,Robert Half International Inc.,8.30B,-0.51%,757022,6.39B
130,MIDD,The Middleby Corporation,8.22B,-1.56%,327766,4.04B
131,ARMK,Aramark,8.16B,0.96%,1368728,18.66B
132,WCC,"WESCO International, Inc.",8.16B,1.16%,304538,22.39B
133,KBR,"KBR, Inc.",8.14B,-0.41%,1145815,6.96B
134,AYI,"Acuity Brands, Inc.",7.97B,1.59%,234953,3.89B
135,SITE,"SiteOne Landscape Supply, Inc.",7.68B,0.08%,201740,4.30B
136,RBC,RBC Bearings Incorporated,7.66B,-0.65%,103398,1.54B
137,OSK,Oshkosh Corporation,7.55B,1.08%,642406,9.66B
138,PAC,"Grupo Aeroportuario del Pacífico, SAB de CV",7.43B,-0.82%,39961,1.41B
139,IEP,Icahn Enterprises L.P.,7.41B,-1.77%,746983,10.85B
140,AIT,"Applied Industrial Technologies, Inc.",7.33B,1.69%,493222,4.46B
141,FCN,"FTI Consulting, Inc.",7.31B,1.15%,225096,3.49B
142,MSA,MSA Safety Incorporated,7.20B,0.03%,69249,1.79B
143,AZEK,The AZEK Company Inc.,6.99B,0.25%,834137,1.39B
144,WTS,"Watts Water Technologies, Inc.",6.80B,-1.40%,62771,2.06B
145,IBP,"Installed Building Products, Inc.",6.79B,0.40%,161378,2.78B
146,GNRC,Generac Holdings Inc.,6.74B,0.03%,591328,4.02B
147,AAON,"AAON, Inc.",6.73B,0.53%,448150,1.17B
148,MTZ,"MasTec, Inc.",6.69B,2.31%,766690,12.00B
149,FLR,Fluor Corporation,6.58B,3.77%,2095819,15.47B
150,ATKR,Atkore Inc.,6.58B,-0.46%,423120,3.48B
151,LSTR,"Landstar System, Inc.",6.56B,-2.00%,225447,5.30B
152,TNET,"TriNet Group, Inc.",6.46B,1.16%,185450,4.92B
153,CR,Crane Company,6.42B,0.46%,139931,2.42B
154,CAE,CAE Inc.,6.34B,0.45%,754399,3.38B
155,ATI,ATI Inc.,6.31B,-3.04%,1838320,4.17B
156,ADT,ADT Inc.,6.04B,3.99%,8332176,4.98B
157,GTLS,"Chart Industries, Inc.",6.04B,0.72%,267272,3.35B
158,ESAB,ESAB Corporation,6.00B,2.90%,350441,2.77B
159,TKR,The Timken Company,6.00B,-0.74%,299919,4.77B
160,HXL,Hexcel Corporation,5.99B,1.48%,808047,1.79B
161,FTAI,FTAI Aviation Ltd,5.98B,-1.10%,655806,1.17B
162,MLI,"Mueller Industries, Inc.",5.95B,-0.25%,535604,3.42B
163,GXO,"GXO Logistics, Inc.",5.90B,-0.87%,796775,9.78B
164,FLS,Flowserve Corporation,5.81B,0.70%,1179296,4.32B
165,DRS,"Leonardo DRS, Inc.",5.77B,-1.91%,427316,2.83B
166,LPX,Louisiana-Pacific Corporation,5.67B,-1.19%,832209,2.58B
167,BECN,"Beacon Roofing Supply, Inc.",5.64B,-0.10%,445110,9.12B
168,CWST,"Casella Waste Systems, Inc.",5.57B,0.41%,268501,1.26B
169,MSM,"MSC Industrial Direct Co., Inc.",5.43B,-0.79%,458710,4.01B
170,ZWS,Zurn Elkay Water Solutions Corporation,5.42B,-1.24%,413888,1.53B
171,AWI,"Armstrong World Industries, Inc.",5.36B,-0.38%,248542,1.30B
172,SPXC,"SPX Technologies, Inc.",5.34B,-0.10%,172074,1.74B
173,AL,Air Lease Corporation,5.23B,-1.15%,1767335,2.68B
174,KEX,Kirby Corporation,5.17B,0.34%,296303,3.09B
175,MMS,"Maximus, Inc.",5.02B,-0.53%,293349,4.98B
176,R,"Ryder System, Inc.",4.97B,1.42%,297509,11.78B
177,MOG.B,Moog Inc.,4.96B,0.83%,210,3.42B
178,MOG.A,Moog Inc.,4.85B,-1.18%,75266,3.42B
179,SRCL,"Stericycle, Inc.",4.84B,1.74%,500408,2.66B
180,ALK,"Alaska Air Group, Inc.",4.81B,0.08%,1765845,10.43B
181,FSS,Federal Signal Corporation,4.78B,0.52%,269456,1.72B
182,FELE,"Franklin Electric Co., Inc.",4.69B,-0.40%,136820,2.07B
183,GATX,GATX Corporation,4.62B,-1.16%,136667,1.41B
184,MDU,"MDU Resources Group, Inc.",4.58B,-1.11%,1392996,4.66B
185,HRI,Herc Holdings Inc.,4.52B,0.42%,74452,3.28B
186,GTES,Gates Industrial Corporation plc,4.45B,0.18%,4954972,3.57B
187,VMI,"Valmont Industries, Inc.",4.34B,-1.02%,117060,4.17B
