,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
229,AE,"Adams Resources & Energy, Inc.",61.60M,3.63%,5870,2.75B
230,PRT,PermRock Royalty Trust,54.62M,-1.05%,27138,9.03M
231,BPT,BP Prudhoe Bay Royalty Trust,51.36M,-5.67%,101893,6.78M
232,NRT,North European Oil Royalty Trust,49.54M,-0.93%,30607,12.68M
233,PVL,Permianville Royalty Trust,46.53M,-3.05%,51050,15.17M
234,DWSN,Dawson Geophysical Company,44.99M,0.68%,438,87.25M
235,NCSM,"NCS Multistage Holdings, Inc.",37.90M,2.58%,1196,142.47M
236,SDPI,"Superior Drilling Products, Inc.",27.93M,0.10%,109931,20.97M
237,CKX,"CKX Lands, Inc.",27.13M,-1.75%,1634,1.08M
238,ICD,"Independence Contract Drilling, Inc.",26.11M,0.58%,45570,210.11M
239,USEG,U.S. Energy Corp.,25.76M,-,22179,35.37M
240,BANL,CBL International Limited,25.75M,-,21334,419.17M
241,BRN,"Barnwell Industries, Inc.",23.67M,2.12%,6387,23.91M
242,INDO,Indonesia Energy Corporation Limited,22.72M,0.89%,41865,3.61M
243,VIVK,"Vivakor, Inc.",22.05M,4.96%,1350,61.79M
244,CEI,"Camber Energy, Inc.",21.94M,2.21%,937823,10.35M
245,MXC,Mexco Energy Corporation,21.69M,-,103,7.01M
246,RCON,"Recon Technology, Ltd.",20.83M,2.86%,175434,9.27M
247,MTR,Mesa Royalty Trust,19.05M,-3.33%,4169,4.13M
248,HUSA,Houston American Energy Corp.,14.51M,-3.68%,150351,872.18K
249,MARPS,Marine Petroleum Trust,8.00M,-2.44%,156,1.18M
250,ENSV,Enservco Corporation,5.07M,1.33%,60276,22.08M
251,TPET,Trio Petroleum Corp.,3.50M,-0.73%,520184,-
